Table,Field
Contact,IsEmailBounced
Contact,LastViewedDate
Contact,MailingCountry
Contact,CurrencyIsoCode
Contact,FinFormacion__c
Contact,FinPostgrado__c
Contact,JigsawContactId
Contact,Telefono_Web__c
Contact,AreaActividad__c
Contact,EmailBouncedDate
Contact,LastCUUpdateDate
Contact,LastModifiedById
Contact,LastModifiedDate
Contact,Observaciones__c
Contact,Pais_del_Lead__c
Contact,Fecha_de_envio__c
Contact,LastCURequestDate
Contact,EmailBouncedReason
Contact,HasOptedOutOfEmail
Contact,InicioFormacion__c
Contact,InicioPostgrado__c
Contact,LastReferencedDate
Contact,Nombre_completo__c
Contact,Email_Secretaria__c
Contact,Contactos_enviados__c
Contact,MailingGeocodeAccuracy
Contact,Total_Participantes__c
Contact,LID__LinkedIn_Company_Id__c
Contact,Porcentaje_Participantes__c
Contact,LID__No_longer_at_Company__c
Contact,LID__LinkedIn_Member_Token__c
Contact,Imposible_contactar_por_SMS__c
Contact,Imposible_contactar_por_email__c
Contact,_airbyte_raw_id
Contact,_airbyte_extracted_at
Contact,_airbyte_meta
Contact,Id
Contact,Name
Contact,Email
Contact,Phone
Contact,OwnerId
Contact,Tipo__c
Contact,Cargo__c
Contact,LastName
Contact,AccountId
Contact,FirstName
Contact,Puesto__c
Contact,OtherPhone
Contact,Salutation
Contact,MobilePhone
Contact,Off_Limit__c
Contact,RecordTypeId
Contact,Apellido_2__c
Contact,LinkedInLink__c
Contact,Email_Personal__c
Contact,Opt_in_out_enviado__c
Contact,Fecha_Fin_Off_Limit__c
Contact,Motivo_de_Off_Limit__c
Contact,Fecha_Inicio_Off_Limit__c
Contact,Consentimiento_otorgado__c
Contact,Contacto_de_Facturacion__c
Contact,Correo_GDPR_enviado_a_Interlocutores__c
Contact,Consentimiento_RGPD_contacto_comercial__c
Curriculum_Vitae__c,P2B_Sector__c
Curriculum_Vitae__c,P2B_Funci_n__c
Curriculum_Vitae__c,P2B_basado_en__c
Curriculum_Vitae__c,Anos_en_el_rol__c
Curriculum_Vitae__c,Fecha_de_Inicio__c
Curriculum_Vitae__c,Experto_sectorial__c
Curriculum_Vitae__c,P2B_movilidad_geogr_fica__c
Curriculum_Vitae__c,Fecha_de_alta_de_candidato__c
Curriculum_Vitae__c,Considerable_para_CdA_Juntas__c
Curriculum_Vitae__c,P2B__c
Curriculum_Vitae__c,check__c
Curriculum_Vitae__c,IsDeleted
Curriculum_Vitae__c,CurrencyIsoCode
Curriculum_Vitae__c,LastReferencedDate
Curriculum_Vitae__c,Salario_NO_USAR__c
Curriculum_Vitae__c,Contacto_hyperlink__c
Curriculum_Vitae__c,Nivel_de_Seniority__c
Curriculum_Vitae__c,Bonus_Actual_NO_USAR__c
Curriculum_Vitae__c,Fecha_inicio_en_el_rol__c
Curriculum_Vitae__c,Otros_Beneficios_actuales_del__c
Curriculum_Vitae__c,Fecha_de_revisi_n_del_candidato__c
Curriculum_Vitae__c,_airbyte_raw_id
Curriculum_Vitae__c,_airbyte_extracted_at
Curriculum_Vitae__c,_airbyte_meta
Curriculum_Vitae__c,Id
Curriculum_Vitae__c,Name
Curriculum_Vitae__c,OwnerId
Curriculum_Vitae__c,Genero__c
Curriculum_Vitae__c,Contact__c
Curriculum_Vitae__c,Summary__c
Curriculum_Vitae__c,CreatedById
Curriculum_Vitae__c,CreatedDate
Curriculum_Vitae__c,LastViewedDate
Curriculum_Vitae__c,SystemModstamp
Curriculum_Vitae__c,Estado_Civil__c
Curriculum_Vitae__c,Expectativas__c
Curriculum_Vitae__c,Nacionalidad__c
Curriculum_Vitae__c,LastActivityDate
Curriculum_Vitae__c,Fecha_de_Nacimiento__c
Curriculum_Vitae__c,Lugar_de_Nacimiento__c
Curriculum_Vitae__c,Per_odo_de_preaviso__c
Curriculum_Vitae__c,Fuente__c
Curriculum_Vitae__c,LastModifiedById
Curriculum_Vitae__c,LastModifiedDate
CV_Education__c,IsDeleted
CV_Education__c,CreatedById
CV_Education__c,CreatedDate
CV_Education__c,SystemModstamp
CV_Education__c,CurrencyIsoCode
CV_Education__c,LastActivityDate
CV_Education__c,LastModifiedById
CV_Education__c,LastModifiedDate
CV_Education__c,_airbyte_raw_id
CV_Education__c,_airbyte_extracted_at
CV_Education__c,_airbyte_meta
CV_Education__c,Id
CV_Education__c,Name
CV_Education__c,Field__c
CV_Education__c,Title__c
CV_Education__c,Degree__c
CV_Education__c,End_Year__c
CV_Education__c,Start_Year__c
CV_Education__c,Description__c
CV_Education__c,Institution__c
CV_Education__c,Curriculum_Vitae__c
CV_Job_Entry__c,Name
CV_Job_Entry__c,Bonus__c
CV_Job_Entry__c,Salary__c
CV_Job_Entry__c,Salario__c
CV_Job_Entry__c,SystemModstamp
CV_Job_Entry__c,Bonus_en_cifra__c
CV_Job_Entry__c,SocialBenefits__c
CV_Job_Entry__c,Area_de_Actividad__c
CV_Job_Entry__c,Bonus_en_porcentaje__c
CV_Job_Entry__c,Investment_Banking_Producto__c
CV_Job_Entry__c,Investment_Banking_Nivel_Seniority__c
CV_Job_Entry__c,IsDeleted
CV_Job_Entry__c,CreatedById
CV_Job_Entry__c,CreatedDate
CV_Job_Entry__c,CurrencyIsoCode
CV_Job_Entry__c,LastActivityDate
CV_Job_Entry__c,LastModifiedById
CV_Job_Entry__c,LastModifiedDate
CV_Job_Entry__c,Fondos_Area_de_Foco__c
CV_Job_Entry__c,Nombre_de_la_empresa__c
CV_Job_Entry__c,_airbyte_raw_id
CV_Job_Entry__c,_airbyte_extracted_at
CV_Job_Entry__c,_airbyte_meta
CV_Job_Entry__c,Id
CV_Job_Entry__c,Role__c
CV_Job_Entry__c,Title__c
CV_Job_Entry__c,Account__c
CV_Job_Entry__c,EndDate__c
CV_Job_Entry__c,Location__c
CV_Job_Entry__c,StartDate__c
CV_Job_Entry__c,Description__c
CV_Job_Entry__c,Is_Current_Job__c
CV_Job_Entry__c,Curriculum_Vitae__c
CV_Language__c,Name
CV_Language__c,Descripci_n__c
CV_Language__c,IsDeleted
CV_Language__c,T_tulo__c
CV_Language__c,CreatedById
CV_Language__c,CreatedDate
CV_Language__c,Instituci_n__c
CV_Language__c,SystemModstamp
CV_Language__c,CurrencyIsoCode
CV_Language__c,LastModifiedById
CV_Language__c,LastModifiedDate
CV_Language__c,Fecha_de_Inicio__c
CV_Language__c,Fecha_de_Finalizaci_n__c
CV_Language__c,_airbyte_raw_id
CV_Language__c,_airbyte_extracted_at
CV_Language__c,_airbyte_meta
CV_Language__c,Id
CV_Language__c,Level__c
CV_Language__c,Language__c
CV_Language__c,Curriculum_Vitae__c
Entrevista_inicial__c,CreatedById
Entrevista_inicial__c,Fecha_de_la_entrevista__c
Entrevista_inicial__c,LastModifiedById
Entrevista_inicial__c,Comentario_de__c
Entrevista_inicial__c,Conclusiones__c
Entrevista_inicial__c,CurrencyIsoCode
Entrevista_inicial__c,Eliminado__c
Entrevista_inicial__c,Name
Entrevista_inicial__c,Impacto__c
Entrevista_inicial__c,Motivo_de_la_entrevista__c
Entrevista_inicial__c,Potencial__c
Entrevista_inicial__c,Valoraci_n__c
Entrevista_inicial__c,Resultado_de_la_Entrevista__c
Entrevista_inicial__c,Comunicacion__c
Entrevista_inicial__c,Curriculum__c
Entrevista_inicial__c,Participante_en_Proceso__c
Equipo_de_trabajo__c,Id
Equipo_de_trabajo__c,Name
Equipo_de_trabajo__c,IsDeleted
Equipo_de_trabajo__c,Funcion__c
Equipo_de_trabajo__c,Contacto__c
Equipo_de_trabajo__c,CreatedById
Equipo_de_trabajo__c,CreatedDate
Equipo_de_trabajo__c,IdProceso__c
Equipo_de_trabajo__c,nombrePNB__c
Equipo_de_trabajo__c,Referencia__c
Equipo_de_trabajo__c,LastViewedDate
Equipo_de_trabajo__c,SystemModstamp
Equipo_de_trabajo__c,CurrencyIsoCode
Equipo_de_trabajo__c,LastModifiedById
Equipo_de_trabajo__c,LastModifiedDate
Equipo_de_trabajo__c,emailContacto__c
Equipo_de_trabajo__c,LastReferencedDate
Equipo_de_trabajo__c,Miembro_del_equipo__c
Equipo_de_trabajo__c,Ref_Factura_No_Emitible__c
Equipo_de_trabajo__c,_airbyte_raw_id
Equipo_de_trabajo__c,_airbyte_extracted_at
Equipo_de_trabajo__c,_airbyte_meta
Equipo_de_trabajo__c,Proceso__c
Equipo_de_trabajo__c,Usuario__c
Note,Body
Note,IsDeleted
Note,IsPrivate
Note,OwnerId
Note,ParentId
Note,Title
Order,Id
Order,Type
Order,Status
Order,EndDate
Order,OwnerId
Order,QuoteId
Order,AccountId
Order,IsDeleted
Order,ContractId
Order,StatusCode
Order,BillingCity
Order,CreatedById
Order,CreatedDate
Order,Description
Order,Impuesto__c
Order,OrderNumber
Order,TotalAmount
Order,BillingState
Order,IdEmpresa__c
Order,Pricebook2Id
Order,RecordTypeId
Order,ShippingCity
Order,Total_WIH__c
Order,ActivatedById
Order,ActivatedDate
Order,BillingStreet
Order,EffectiveDate
Order,OpportunityId
Order,ShippingState
Order,BillingAddress
Order,BillingCountry
Order,LastViewedDate
Order,Propiet_ref__c
Order,ShippingStreet
Order,Subtipo_ref__c
Order,SystemModstamp
Order,TalengoTech__c
Order,Total_WIH_G__c
Order,Total_WIH_H__c
Order,BillToContactId
Order,BillingLatitude
Order,CurrencyIsoCode
Order,OriginalOrderId
Order,ShipToContactId
Order,ShippingAddress
Order,ShippingCountry
Order,Total_Equipo__c
Order,BillingLongitude
Order,BillingStateCode
Order,ID_Referencia__c
Order,IsReductionOrder
Order,LastModifiedById
Order,LastModifiedDate
Order,ShippingLatitude
Order,BillingPostalCode
Order,Dias_desde_PNB__c
Order,Record_Type_Id__c
Order,ShippingLongitude
Order,ShippingStateCode
Order,BillingCountryCode
Order,LastReferencedDate
Order,ShippingPostalCode
Order,Total_Impuestos__c
Order,ShippingCountryCode
Order,Importe_de_Gastos__c
Order,Lugar_Facturacion__c
Order,Ref_Tiene_Factura__c
Order,Total_facturacion__c
Order,Total_facturado_G__c
Order,CompanyAuthorizedById
Order,CompanyAuthorizedDate
Order,Total_del_Proyecto__c
Order,BillingGeocodeAccuracy
Order,CustomerAuthorizedById
Order,CustomerAuthorizedDate
Order,Etapa_PNB_propuesta__c
Order,Gastos_del_proyecto__c
Order,Nombre_de_Propuesta__c
Order,Pais_de_facturacion__c
Order,Rem_1er_a_o_en_ppta__c
Order,Remuneracion_1_anno__c
Order,Total_facturacion_h__c
Order,Best_Guess_propuesta__c
Order,Dias_desde_Propuesta__c
Order,Importe_del_Proyecto__c
Order,ShippingGeocodeAccuracy
Order,Area_de_la_referencia__c
Order,OK_Pipeline_propuesta__c
Order,Cancelacion_Notificada__c
Order,Total_facturacion_GMan__c
Order,Ano_creacion_referencia__c
Order,Ref_Factura_No_Emitible__c
Order,Facturado_anno_en_curso_H__c
Order,Instruccion_de_Facturacion__c
Order,Probabilidad_PNB_propuesta__c
Order,Propuesta_actual_propuesta__c
Order,comentarios_de_facturacion__c
Order,Codigo_de_Referencia_Antiguo__c
Order,Importe_del_Proyecto_anterio__c
Order,offlimit_de_la_empresa_de_la_ref__c
Order,Total_antes_de_impuestos_Referencia__c
Order,Fecha_de_aceptacion_prevista_propuesta__c
Order,_airbyte_raw_id
Order,_airbyte_extracted_at
Order,_airbyte_meta
PDBContactJoin__c,Name
PDBContactJoin__c,Otros__c
PDBContactJoin__c,Genero__c
PDBContactJoin__c,IsDeleted
PDBContactJoin__c,Idiomas__c
PDBContactJoin__c,Salario__c
PDBContactJoin__c,Sign_Off__c
PDBContactJoin__c,Formacion__c
PDBContactJoin__c,Ubicacion__c
PDBContactJoin__c,LastViewedDate
PDBContactJoin__c,Remuneracion__c
PDBContactJoin__c,LastActivityDate
PDBContactJoin__c,LastReferencedDate
PDBContactJoin__c,Nivel_Seniority__c
PDBContactJoin__c,No_interes_en_el_sector__c
PDBContactJoin__c,No_quiere_cambios_otros__c
PDBContactJoin__c,No_interes_en_la_compania__c
PDBContactJoin__c,Contact__c
PDBContactJoin__c,CreatedById
PDBContactJoin__c,CreatedDate
PDBContactJoin__c,Declined__c
PDBContactJoin__c,Posicion__c
PDBContactJoin__c,Rejected__c
PDBContactJoin__c,SystemModstamp
PDBContactJoin__c,TEST_Autana__c
PDBContactJoin__c,CurrencyIsoCode
PDBContactJoin__c,LastModifiedById
PDBContactJoin__c,LastModifiedDate
PDBContactJoin__c,Total_Placement__c
PDBContactJoin__c,Nombre_participante__c
PDBContactJoin__c,Total_Participantes__c
PDBContactJoin__c,Porcentaje_Participantes__c
PDBContactJoin__c,ComentariosProgressDinamico1__c
PDBContactJoin__c,ComentariosProgressDinamico2__c
PDBContactJoin__c,ComentariosProgressDinamico3__c
PDBContactJoin__c,ComentariosProgressDinamico4__c
PDBContactJoin__c,ComentariosProgressDinamico5__c
PDBContactJoin__c,ComentariosProgressDinamico6__c
PDBContactJoin__c,ComentariosProgressDinamico7__c
PDBContactJoin__c,ComentariosProgressDinamico8__c
PDBContactJoin__c,ComentariosProgressDinamico9__c
PDBContactJoin__c,ComentariosProgressDinamico10__c
PDBContactJoin__c,Experiencia_Conocimientos_Tecnicos__c
PDBContactJoin__c,_airbyte_raw_id
PDBContactJoin__c,_airbyte_extracted_at
PDBContactJoin__c,_airbyte_meta
PDBContactJoin__c,Id
PDBContactJoin__c,Asset__c
PDBContactJoin__c,Phase__c
PDBContactJoin__c,Estatus__c
PDBContactJoin__c,DateOffered__c
PDBContactJoin__c,CommentsFinal__c
PDBContactJoin__c,NotesInternal__c
PDBContactJoin__c,OfferAccepted__c
PDBContactJoin__c,CommentsProgress__c
User,Id
User,
